"■資産合計欄"
"","時価評価額[円]","前日比[円]","前日比[％]","前月比[円]","前月比[％]","評価損益[円]","評価損益[％]","","実現損益[円]","配当・分配金[円貨]","配当・分配金[外貨]"
"資産合計","281,368","+14,350","+5.37","+35,968","+14.66","+22,323","-","","+10","618","0.00"

"保有商品の評価額合計","279,215","+13,319","+5.01","+34,330","+14.02","+22,323","-","","","",""
"国内株式","146,462","+13,352","+10.03","+20,908","+16.65","+9,702","-","","+42","0",""
"米国株式","28,360","+130","+0.46","-62","-0.22","+1,228","-","","-32","618","0.00"
"中国株式","0","0","0.00","0","0.00","0","-","","-","0",""
"アセアン株式","0","0","0.00","0","0.00","0","-","","-","",""
"投資信託","94,393","-163","-0.17","+13,484","+16.67","+11,393","-","","-","0",""
"楽天・マネーファンド","0","0","0.00","0","0.00","-","-","","-","",""
"外貨建MMF","0","0","0.00","0","0.00","0","-","","-","",""
"国内債券","10,000","0","0.00","0","0.00","0","-","","-","",""
"外国債券","0","0","0.00","0","0.00","0","-","","-","",""
"金・プラチナ","0","0","0.00","0","0.00","0","-","","-"

"預り金合計","2,153","+1,031","+91.89","+1,638","+318.06","-","-","","","",""
"預り金","2,153","+1,031","+91.89","+1,638","+318.06","-","-","","","",""
"外貨預り金","0","0","0.00","0","0.00","-","-","","","",""

"楽天銀行普通預金残高","未取得"


"■ 保有商品詳細 (すべて）"

"種別","銘柄コード・ティッカー","銘柄","口座","保有数量","［単位］","平均取得価額","［単位］","現在値","［単位］","現在値(更新日)","(参考為替)","前日比","［単位］","時価評価額[円]","時価評価額[外貨]","評価損益[円]","評価損益[％]"
"投資信託","","eMAXIS Slim 先進国株式インデックス(除く日本)","NISAつみたて投資枠","1,824","口","35,087.72","円","43,436","円","","","-29","円","7,923","-","+1,523","+23.79"
"投資信託","","eMAXIS Slim 米国株式(S&P500)","NISAつみたて投資枠","3,853","口","36,854.40","円","42,853","円","","","+36","円","16,511","-","+2,311","+16.27"
"投資信託","","eMAXIS Neo 宇宙開発","NISA成長投資枠","391","口","51,150.90","円","57,798","円","","","-424","円","2,260","-","+260","+12.99"
"投資信託","","eMAXIS Slim 全世界株式(オール・カントリー)(オルカン)","NISAつみたて投資枠","3,691","口","30,885.94","円","36,592","円","","","-50","円","13,506","-","+2,106","+18.47"
"投資信託","","iFreeNEXT FANG+インデックス","NISAつみたて投資枠","609","口","82,101.81","円","91,444","円","","","-423","円","5,569","-","+569","+11.37"
"投資信託","","iFreeNEXT NASDAQ100インデックス","NISAつみたて投資枠","410","口","48,780.49","円","54,664","円","","","-348","円","2,241","-","+241","+12.06"
"国内債券","","個人国債　変動10年　第192回","特定","10,000","額面","100.00","円","100.0000","％","","","0.0000","％","10,000","-","0","-"


"■参考為替レート"

"米ドル","157.85","円/USD","(05/14  15:59)"
"ユーロ","184.98","円/EUR","(05/14  16:00)"
"イギリスポンド","213.53","円/GBP","(05/14  15:59)"
"オーストラリアドル","114.61","円/AUD","(05/14  15:59)"
"ニュージーランドドル","93.76","円/NZD","(05/14  15:59)"
"カナダドル","115.19","円/CAD","(05/14  15:59)"
"トルコリラ","3.47","円/TRY","(05/14  15:59)"
"南アフリカランド","9.63","円/ZAR","(05/14  15:59)"
"ロシアルーブル","2.14","円/RUB","(05/14  15:59)"
"メキシコペソ","9.19","円/MXN","(05/14  15:59)"
